gender,race/ethnicity,parental level of education,lunch,math score,reading score,writing score
female,group B,bachelor's degree,standard,72,72,74
female,group C,some college,standard,69,90,88
female,group B,master's degree,standard,90,95,93
male,group A,associate's degree,free/reduced,47,57,44
male,group C,some college,standard,76,78,75
female,group B,associate's degree,standard,71,83,78
female,group B,some college,standard,88,95,92
male,group B,some college,free/reduced,40,43,39
male,group D,high school,free/reduced,64,64,67
female,group B,high school,free/reduced,38,60,50
male,group C,associate's degree,standard,58,54,52
